event,sector,region,trkID,x0,y0,z0,r,phi,theta,eta,err_x0,err_y0,err_z0
5,15,3,2,11.98310852,-1.331091881,-9.478132248,12.05681116,-0.1106271642,2.237018,-0.721795147,0.001305497601,0.007403844502,0.2947086394
6,4,1,1,-6.22101593,1.980998635,5.780247688,6.528812664,2.833308607,0.846137503,0.7979337444,0.002766174963,0.008513411507,0.4802432656
6,5,2,1,-8.911506653,2.699177742,9.138874054,9.311310934,2.847489527,0.7947439699,0.86821781,0.0020830906,0.009126616642,0.4749862552
6,6,3,1,-11.63011742,3.333005428,12.47468948,12.09828733,2.862489115,0.7700816341,0.903202892,0.001820451231,0.01032429188,0.4697988927
6,8,1,3,5.779472828,3.339928389,-2.151931286,6.675135041,0.5240072194,1.882656873,-0.3170421435,0.003123131348,0.009612009861,0.4115141034
6,9,1,2,6.373176575,-1.512696028,-4.334797859,6.550238845,-0.2330411572,2.15540618,-0.6210721357,0.002591132419,0.007974686101,0.3935339153
6,10,2,3,8.113042831,4.72448349,1.073758841,9.388408184,0.5273269249,1.456920428,0.1141228183,0.006217645016,0.00779668102,0.4055466056
6,12,2,2,9.057920456,-2.057695627,-4.760336399,9.288704661,-0.22337974,2.04438322,-0.4923521716,0.00172135327,0.007541741244,0.3587394655
6,13,3,3,10.32456017,6.181736469,0.04396592081,12.03371964,0.5394931788,1.567142783,0.003653552211,0.003922968172,0.006794779561,0.3656709492
6,15,3,2,11.76969624,-2.54141593,-5.434587479,12.0409528,-0.2126637166,1.994765684,-0.4372731418,0.001309935469,0.007429012563,0.3239122331
7,1,1,3,-1.271367192,-6.528700352,-1.100835443,6.651338423,-1.763124407,1.734815352,-0.1647594237,0.009935587645,0,0.4203183055
7,1,2,3,-1.450951576,-9.288700104,-3.427680492,9.401340867,-1.72575021,1.920413619,-0.3569653955,0.009711233899,0,0.3691689968
7,1,3,3,-1.423311353,-12.03219986,-5.635169029,12.11609049,-1.688541026,2.006134545,-0.4497787218,0.009016133845,0,0.3224132657
7,9,1,1,5.731806755,-3.486630201,5.321506977,6.708964066,-0.5464965542,0.9002194649,0.7273444784,0.003485973924,0.0107287243,0.4761307836
7,9,2,2,2.803304911,8.95967865,-4.445588589,9.387990197,1.267565237,2.013052735,-0.4574209295,0.008473542519,0.004080642946,0.3611809015
7,11,3,2,3.447742462,11.54952431,-4.905611992,12.05315062,1.280699595,1.957321137,-0.3965252253,0.007378350943,0.002685500076,0.3278309703
7,13,2,1,8.145294189,-4.684042454,2.586158276,9.396066791,-0.5218802538,1.302208502,0.2718766083,0.006391010247,0.008014073595,0.4181514382
8,5,1,3,-4.533460617,4.776165009,-2.797264576,6.585136092,2.330130131,1.972484537,-0.4129477723,0.007254308555,0.005270563532,0.406157732
8,6,2,3,-6.495941162,6.75226593,-0.8723632693,9.369650302,2.33684902,1.663633899,-0.09297121814,0.005907301791,0.007407522295,0.3896117806
8,7,1,1,5.283325672,4.231356144,2.509952784,6.768892448,0.6752826339,1.215706759,0.3627958876,0.009433477186,0.006853821687,0.4512720108
8,8,3,3,-8.501312256,8.57347393,-3.198934555,12.07380492,2.351968303,1.829793785,-0.2619425615,0.006464286242,0.005424179602,0.3406407237
8,9,1,2,5.771058083,-3.365827084,2.084825277,6.680860974,-0.5279938397,1.268312935,0.3072044701,0.003278093878,0.01008893456,0.4475682676
8,10,2,1,7.109892845,5.982393742,0.0945912227,9.29191106,0.6994907817,1.560616725,0.0101797777,0.005114919506,0.006413905881,0.3974936306
8,12,3,1,9.257811546,7.938695431,2.095663309,12.19548932,0.708839714,1.40061916,0.1710045602,0.006834161468,0.005734542385,0.3443360031
8,13,2,2,8.232215881,-4.575045109,-1.112278342,9.418089831,-0.5072462541,1.688352008,-0.1178273773,0.006363808177,0.007979963906,0.3876661956
8,16,3,2,10.59315681,-5.716514111,0.4937134385,12.0371718,-0.4948561766,1.52980357,0.0410042428,0.003982652444,0.006898156367,0.3692104816
9,4,1,1,-6.393251419,1.450912118,-2.61843133,6.555822579,2.918428349,1.950790064,-0.3894832463,0.002659793943,0.008186004125,0.4076400697
9,5,2,1,-9.072369576,1.994389772,-0.3895871341,9.288997808,2.925203374,1.612712468,-0.04192842081,0.001804126077,0.007904392667,0.3935396969
9,6,3,1,-11.77898121,2.488754988,0.9479032755,12.03903234,2.933367376,1.492222592,0.07865471047,0.00139748014,0.007925503887,0.372803092
9,7,1,3,2.80278635,6.033573627,-4.615088463,6.652790546,1.135923748,2.177286414,-0.647503654,0.007768641226,0.005644248333,0.3912494481
9,7,1,2,4.832885742,4.558619976,0.5710668564,6.643628578,0.7562028623,1.485050023,0.08585157119,0.008097167127,0.00588293653,0.4345124662
9,9,2,3,3.528770447,8.610312462,-2.740997791,9.305358755,1.181844034,1.857255973,-0.2904597562,0.007395268418,0.003561373334,0.3746161461
9,10,2,2,6.59879446,6.623291969,-0.1354161799,9.349443023,0.7872509331,1.585279191,-0.01448337033,0.005743125919,0.007201652043,0.3956095576
9,11,3,3,4.004785061,11.34677696,-1.497181654,12.03277403,1.231500558,1.694585434,-0.1241064759,0.007230131421,0.00263155275,0.3536688983
9,12,3,2,8.30507946,8.738132477,3.04712081,12.05526043,0.8108018172,1.323219121,0.2501458515,0.006594399922,0.005533358548,0.3896317184
